"AGENCY","YEAR","ORI","STATE","COUNTY","POP","COMPSTAT","COMPSTATDATE","HASCOMPSTAT","YEAR.UNFOUNDED.MURDER","YEAR.UNFOUNDED.RAPE.TOT","YEAR.UNFOUND.AUTO.THFT","YEAR.ACT.NUM.MURDER","YEAR.ACT.NUM.RAPE.TOT","YEAR.ACT.NUM.ASSAULT.TOT","YEAR.ACT.VHC.THFT.TOT","YEAR.ACT.ALL.FIELDS","YEAR.TOT.CLR.MURDER","YEAR.TOT.CLR.RAPE.TOT","YEAR.TOT.CLR.ASSAULT.TOT","YEAR.TOT.CLR.VHC.THFT.TOT","YEAR.TOT.CLR.ALL.FIELDS","SHAREPT2","clearrate","unfoundrapepct","murderclearrate","rapeclearrate","assaultclearrate","unfoundmurderpct","unfoundassaultpct","PART1arrests","PART2arrests","popblackpct","popwhitepct","unfoundautopct","yearssincecompstat","FIPS_PLACE_ID","cdcHomicide","cdcSuicide","cdcUndetermined","cdcUnintentional","haselection","years_since_election","partisantotal","incidentsperpop","autoclearrate","YEAR.ACT.NUM.KILLINGS"
"NASHVILLE",1992,"TN01901","Tennessee",0,514771,1,2004,0,6,43,133,90,498,19977,5138,64715,32,158,10904,563,16723,0.605928429514262,0.258409951325041,0.0794824399260629,0.333333333333333,0.317269076305221,0.545827701857136,0.0625,0.00819183795055109,17256,26533,0.241472809912162,0.740051373547383,0.0327560240963855,-12,4752000,82,65,NA,187,0,1,0,0.126770933094522,0.109575710393149,90
"MEMPHIS",1992,"TNMPD00","Tennessee",79,628865,1,1997,0,20,23,903,176,688,5796,13214,64173,123,557,4597,1211,16896,0.725291253473373,0.26328829881726,0.0323488045007032,0.627551020408163,0.809593023255814,0.793133195307108,0.102040816326531,0.013950323239197,10776,28451,0.449408756640263,0.537960564871354,0.0737417636338147,-5,4748000,211,89,NA,290,0,1,0,0.104523228355847,0.0916452247616165,177
"EL PASO",1992,"TX07102","Texas",71,535655,1,1999,0,2,7,338,44,272,15264,5431,59812,39,139,6673,495,13032,0.641075379625981,0.217882699123922,0.025089605734767,0.847826086956522,0.511029411764706,0.437172431865828,0.0434782608695652,0.00760678759508484,11842,21151,0.0376927276309966,0.944314514696239,0.0826013513513514,-7,4824000,41,57,13,219,0,3,0,0.113222129915711,0.0911434358313386,47
"CORPUS CHRISTI",1992,"TX17802","Texas",178,267601,1,2010,0,0,4,86,30,144,6397,1750,32127,27,102,2599,417,7150,0.741054502369668,0.22255423786846,0.027027027027027,0.9,0.708333333333333,0.406284195716742,0,0.00280592361652377,4371,12509,0.0451730771799976,0.939292728220064,0.0509761388286334,-18,4817000,32,52,13,74,0,1,1,0.120944988994809,0.238285714285714,30
"ARLINGTON",1992,"TX22001","Texas",220,272037,1,1997,0,2,13,81,16,146,5588,2947,27512,11,98,4516,329,8939,0.665478686233403,0.324912765338761,0.0817610062893082,0.611111111111111,0.671232876712329,0.808160343593414,0.111111111111111,0.0146358666901781,4787,9523,0.124207800134308,0.840704079742612,0.039126181936746,-5,4804000,190,176,NA,320,0,1,0,0.103118325815974,0.111638954869359,16
"FORT WORTH",1992,"TX22012","Texas",220,465262,1,2002,0,2,68,361,153,525,16786,9940,77324,126,228,11250,837,19616,0.735893807426305,0.25368578966427,0.114671163575042,0.812903225806452,0.434285714285714,0.670201358274753,0.0129032258064516,0.0163492528567243,13251,36922,0.124207800134308,0.840704079742612,0.0446900528592023,-10,4827000,190,176,NA,320,0,1,0,0.168758677906212,0.08420523138833,153
"AUSTIN",1992,"TX22701","Texas",227,483975,1,2002,0,1,32,513,37,294,13149,4570,65044,32,133,10837,739,19662,0.646102390078367,0.302287682184368,0.098159509202454,0.842105263157895,0.452380952380952,0.824169138337516,0.0263157894736842,0.0083710407239819,14496,26465,0.109934122413581,0.850918557893709,0.130186524552722,-10,4805000,44,79,NA,187,0,1,0,0.138841882328633,0.161706783369803,37
"DALLAS",1992,"TXDPD00","Texas",57,1046562,1,2003,0,30,126,1371,387,1096,44713,20515,164128,297,577,35710,2428,60529,0.747494690239014,0.368791431078183,0.103109656301146,0.712230215827338,0.526459854014598,0.798649162435981,0.0719424460431655,0.0426096824615121,25323,74964,0.204650140538131,0.756062641621575,0.0778946422150306,-11,4819000,473,252,27,528,0,1,0,0.164137432851565,0.118352425054838,387
"SAN ANTONIO",1992,"TXSPD00","Texas",15,972824,1,1998,0,9,48,351,219,616,12597,14722,118922,98,452,2107,933,7679,0.68213937874298,0.0645717360959284,0.072289156626506,0.429824561403509,0.733766233766234,0.167262046519012,0.0394736842105263,0.0370738419201957,15339,32918,0.073921264419607,0.905614239334017,0.0299795743559333,-6,4865000,255,171,NA,354,0,1,0,0.123779840957871,0.0633745415025132,221
"VIRGINIA BEACH",1992,"VA12800","Virginia",0,405116,1,2004,0,2,107,215,23,153,3471,1160,24236,15,134,2331,261,6864,0.733860390556689,0.283215051988777,0.411538461538462,0.6,0.875816993464052,0.671564390665514,0.08,0.0326086956521739,7305,20143,0.153235829241053,0.79653510801441,0.187105816398038,-12,5182000,29,52,NA,65,1,0,0,0.0624216273857364,0.225,23
"MILWAUKEE",1992,"WIMPD00","Wisconsin",40,643017,0,2008,0,7,201,77,146,523,16385,14241,70808,124,376,12905,1248,20154,0.651456299354959,0.284628855496554,0.277624309392265,0.810457516339869,0.718929254302103,0.787610619469027,0.0457516339869281,0.0169786417086633,29881,55850,0.217234924718009,0.755815457460579,0.00551675977653631,-16,5553000,150,121,NA,258,1,0,0,0.112031252672946,0.0876342953444281,146
"MESA",1990,"AZ00717","Arizona",7,288091,1,2007,0,1,9,60,9,95,4239,2501,23309,9,40,2940,216,6279,0.65330426031533,0.269380925822644,0.0865384615384615,0.9,0.421052631578947,0.693559801840057,0.1,0.00842105263157895,6201,11685,0.0363780215162488,0.925219803128059,0.0373364126250962,-17,446000,184,386,11,800,1,0,0,0.0816929373010611,0.0863654538184726,9
"MESA",1991,"AZ00717","Arizona",7,294754,1,2007,0,0,9,52,15,156,4521,2605,25413,16,56,3275,329,7198,0.623564988519908,0.283240860976666,0.0545454545454545,1.06666666666667,0.358974358974359,0.724397257243973,0,0.0124508519003932,6722,11135,0.0374935345386424,0.922667395741735,0.0272591486183719,-16,446000,210,344,15,697,0,1,0,0.0870522537437999,0.126295585412668,17
"MESA",1993,"AZ00717","Arizona",7,304695,1,2007,0,0,1,30,6,111,5282,2717,27622,5,22,3222,198,6407,0.645990922844175,0.231952791253349,0.00892857142857143,0.833333333333333,0.198198198198198,0.609996213555471,0,0.00113464447806354,6552,11956,0.0385137737760728,0.919117176571889,0.0152229068503081,-14,446000,223,400,15,769,0,1,0,0.0910549894156452,0.0728744939271255,8
"MESA",1994,"AZ00717","Arizona",7,315456,1,2007,0,1,10,50,17,120,5292,3471,29642,10,42,3554,268,7034,0.681209356498107,0.237298427906349,0.0769230769230769,0.555555555555556,0.35,0.671579743008314,0.0555555555555556,0.00582378358068758,6569,14037,0.0393796923753181,0.917329755381372,0.0222535211267606,-13,446000,292,394,20,878,1,0,0,0.0947168543315074,0.0772111783347738,17
"MESA",1995,"AZ00717","Arizona",7,324654,1,2007,0,3,8,48,17,128,6015,4484,32908,13,48,4038,379,7942,0.686925909440375,0.241339491916859,0.0588235294117647,0.65,0.375,0.671321695760599,0.15,0.00463346020188648,7737,16976,0.040072235096604,0.915535202870622,0.0151548429606853,-12,446000,670,870,22,1878,0,1,0,0.102136428320612,0.0845227475468332,19
"MESA",1996,"AZ00717","Arizona",7,340818,1,2007,0,1,6,36,18,110,5845,3811,29756,13,40,3458,260,6748,0.696922624795332,0.226777792714074,0.0517241379310345,0.684210526315789,0.363636363636364,0.591616766467066,0.0526315789473684,0.0064592894781574,7219,16600,0.0407672290625724,0.913752766290873,0.012182477967859,-11,446000,520,800,46,2072,1,0,0,0.0878885504873569,0.0682235633691944,19
"MESA",1997,"AZ00717","Arizona",7,350592,1,2007,0,0,9,29,13,126,6011,3448,31148,6,36,3441,264,7039,0.715337672904801,0.225985617054064,0.0666666666666667,0.461538461538462,0.285714285714286,0.572450507403094,0,0.00463652922669316,6997,17583,0.0411995113028158,0.912402063594092,0.0148571428571429,-10,446000,520,820,64,2192,0,1,0,0.0895000456370938,0.0765661252900232,14
