,title,year,number_of_reviews,rotten_tomatoes_link,wiki_link,number_of_ratings_by_users,number_of_reviews_by_rotten_tomatoes,user_rating,genre,director,producer,writer,runtime_in_minutes,revenue
190,Night Will Fall,2014,24,https://www.rottentomatoes.com/m/night_will_fall,https://en.m.wikipedia.org/wiki/Night_Will_Fall,500+ Ratings,24 Reviews,93%,Documentary,['André Singer'],"['Sally Angel', 'Brett Ratner']",['Lynette Singer'],75,1030000.0
179,"3 1/2 Minutes, 10 Bullets",2015,50,https://www.rottentomatoes.com/m/3_and_12_minutes_10_bullets,"https://en.m.wikipedia.org/wiki/3_1/2_Minutes,_10_Bullets",500+ Ratings,50 Reviews,86%,Documentary,['Marc Silver'],"['Carolyn Hepburn', 'Minette Nelson']",['Marc Silver'],98,30407.0
187,Pervert Park,2014,20,https://www.rottentomatoes.com/m/pervert_park,https://en.m.wikipedia.org/wiki/Pervert_Park,100+ Ratings,21 Reviews,75%,Documentary,"['Frida Barkfors', 'Lasse Barkfors']","['Frida Barkfors', 'Anne Köhncke']","['Frida Barkfors', 'Lasse Barkfors']",77,30407.0
201,Cultural depictions of Matthew Shepard,2013,30,https://www.rottentomatoes.com/m/matt_shepard_is_a_friend_of_mine,https://en.m.wikipedia.org/wiki/Cultural_depictions_of_Matthew_Shepard#Matt_Shepard_Is_a_Friend_of_Mine_(2012),500+ Ratings,30 Reviews,86%,Documentary,['Michele Josue'],"['Michele Josue', 'Liam McNiff']",['Michele Josue'],89,743541.0
255,My Voyage to Italy,1999,20,https://www.rottentomatoes.com/m/my_voyage_to_italy,https://en.m.wikipedia.org/wiki/My_Voyage_to_Italy,"2,500+ Ratings",20 Reviews,87%,Documentary,['Martin Scorsese'],"['Barbara De Fina', 'Giuliana Del Punta', 'Bruno Restuccia']",[],246,512000000.0
176,The Hard Stop,2015,25,https://www.rottentomatoes.com/m/the_hard_stop,https://en.m.wikipedia.org/wiki/The_Hard_Stop,50+ Ratings,25 Reviews,71%,Documentary,['George Amponsah'],"['George Amponsah', 'Dionne Walker']","['George Amponsah', 'Dionne Walker']",85,15200000.0
278,Roger &amp; Me,1989,31,https://www.rottentomatoes.com/m/roger_and_me,https://en.m.wikipedia.org/wiki/Roger_%26_Me,"10,000+ Ratings",31 Reviews,79%,Documentary,['Michael Moore'],['Michael Moore'],[],91,7700000.0
224,Thunder Soul (film),2010,29,https://www.rottentomatoes.com/m/thunder_soul,https://en.m.wikipedia.org/wiki/Thunder_Soul_(film),500+ Ratings,29 Reviews,85%,Documentary,['Mark Landsman'],"['Keith Calder', 'Mark Landsman', 'Jessica Calder']",[],88,143986.0
225,Nostalgia for the Light,2010,48,https://www.rottentomatoes.com/m/nostalgia_for_the_light,https://en.m.wikipedia.org/wiki/Nostalgia_for_the_Light,"2,500+ Ratings",48 Reviews,84%,Documentary,['Patricio Guzmán'],"['Meike Martens', 'Renate Sachse']",['Patricio Guzmán'],90,156928.0
226,Waste Land (film),2010,71,https://www.rottentomatoes.com/m/waste_land,https://en.m.wikipedia.org/wiki/Waste_Land_(film),"5,000+ Ratings",71 Reviews,90%,Documentary,"['Lucy Walker', 'Karen Harley', 'João Jardim']",['Angus Aynsley'],[],98,156928.0
227,Enemies of the People (film),2010,33,https://www.rottentomatoes.com/m/enemies_of_the_people?,https://en.m.wikipedia.org/wiki/Enemies_of_the_People_(film),500+ Ratings,33 Reviews,85%,Documentary,"['Rob Lemkin', 'Thet Sambath']","['Rob Lemkin', 'Thet Sambath']",['Rob Lemkin'],93,156928.0
228,Henri-Georges Clouzot's Inferno,2009,32,https://www.rottentomatoes.com/m/lenfer_dhenrigeorges_clouzot?,https://en.m.wikipedia.org/wiki/Henri-Georges_Clouzot%27s_Inferno,500+ Ratings,31 Reviews,82%,Documentary,"['Serge Bromberg', 'Ruxandra Medrea']",['Serge Bromberg'],['Serge Bromberg'],102,156928.0
229,Racing Dreams,2009,27,https://www.rottentomatoes.com/m/racing_dream,https://en.m.wikipedia.org/wiki/Racing_Dreams,"1,000+ Ratings",27 Reviews,93%,Documentary,['Marshall Curry'],"['Bristol Baughan', 'Marshall Curry']",['Marshall Curry'],97,65082.0
223,Louder Than a Bomb (film),2010,26,https://www.rottentomatoes.com/m/louder_than_a_bomb_2010,https://en.m.wikipedia.org/wiki/Louder_Than_a_Bomb_(film),"1,000+ Ratings",26 Reviews,81%,Documentary,"['Greg Jacobs', 'Jon Siskel']","['Greg Jacobs', 'Jon Siskel']",[],100,2200000.0
236,Man on Wire,2008,159,https://www.rottentomatoes.com/m/man_on_wire,https://en.m.wikipedia.org/wiki/Man_on_Wire,"25,000+ Ratings",159 Reviews,87%,Documentary,['James Marsh'],['Simon Chinn'],[],90,5300000.0
238,The Order of Myths,2008,32,https://www.rottentomatoes.com/m/the_order_of_myths,https://en.m.wikipedia.org/wiki/The_Order_of_Myths,500+ Ratings,33 Reviews,71%,Documentary,['Margaret Brown'],['Sara Alize Cross'],['Margaret Brown'],97,5300000.0
269,Incident at Oglala,1992,21,https://www.rottentomatoes.com/m/incident_at_oglala?,https://en.m.wikipedia.org/wiki/Incident_at_Oglala,500+ Ratings,21 Reviews,84%,Documentary,['Michael Apted'],[],[],89,536848.0
160,Chicken People,2016,20,https://www.rottentomatoes.com/m/chicken_people,https://en.m.wikipedia.org/wiki/Chicken_People,250+ Ratings,20 Reviews,64%,Documentary,['Nicole Lucas Haimes'],"['Christopher Clements', 'Julie Goldman', 'Caroline Kaplan', 'Terry Leonard']",[],83,51500.0
425,Nanook of the North,1922,33,https://www.rottentomatoes.com/m/nanook_of_the_north,https://en.m.wikipedia.org/wiki/Nanook_of_the_North,"2,500+ Ratings",34 Reviews,80%,Documentary,['Robert J. Flaherty'],['Robert J. Flaherty'],['Robert J. Flaherty'],79,680406.0
158,Off the Rails (2016 film),2016,24,https://www.rottentomatoes.com/m/off_the_rails_2016,https://en.m.wikipedia.org/wiki/Off_the_Rails_(2016_film),100+ Ratings,24 Reviews,85%,Documentary,['Adam Irving'],"['Adam Irving', 'Glen Zipper']","['Tchavdar Georgiev', 'Adam Irving']",86,51500.0
77,Queer Japan,2019,24,https://www.rottentomatoes.com/m/queer_japan,https://en.m.wikipedia.org/wiki/Queer_Japan,Fewer than 50 Ratings,24 Reviews,80%,Documentary,['Graham Kolbeins'],['Hiromi Iida'],['Graham Kolbeins'],99,741515.0
237,Pray the Devil Back to Hell,2008,36,https://www.rottentomatoes.com/m/pray_the_devil_back_to_hell,https://en.m.wikipedia.org/wiki/Pray_the_Devil_Back_to_Hell,"1,000+ Ratings",36 Reviews,86%,Documentary,['Gini Reticker'],['Abigail Disney'],[],72,5300000.0
222,Into Eternity (film),2010,27,https://www.rottentomatoes.com/m/into_eternity_2010,https://en.m.wikipedia.org/wiki/Into_Eternity_(film),"1,000+ Ratings",27 Reviews,80%,Documentary,['Michael Madsen'],['Lise Lense-Møller'],['Michael Madsen'],75,2200000.0
209,More than Honey,2012,41,https://www.rottentomatoes.com/m/more_than_honey,https://en.m.wikipedia.org/wiki/More_than_Honey,"1,000+ Ratings",41 Reviews,79%,Documentary,['Markus Imhoof'],[],[],95,521181.0
216,Sholem Aleichem: Laughing in the Darkness,2011,43,https://www.rottentomatoes.com/m/sholem_aleichem_laughing_in_the_darkness_2011,https://en.m.wikipedia.org/wiki/Sholem_Aleichem:_Laughing_in_the_Darkness,500+ Ratings,43 Reviews,68%,Documentary,['Joseph Dorman'],[],['Joseph Dorman'],93,40634.0
220,Everyday Sunshine: The Story of Fishbone,2011,48,https://www.rottentomatoes.com/m/everyday_sunshine_the_story_of_fishbone_2011,https://en.m.wikipedia.org/wiki/Everyday_Sunshine:_The_Story_of_Fishbone,"1,000+ Ratings",48 Reviews,85%,Documentary,"['Lev Anderson', 'Chris Metzler']","['Lev Anderson', 'Chris Metzler']","['Lev Anderson', 'Chris Metzler']",107,2200000.0
247,I for India,2005,22,https://www.rottentomatoes.com/m/10006491,https://en.m.wikipedia.org/wiki/I_for_India,500+ Ratings,22 Reviews,93%,Documentary,['Sandhya Suri'],"['Carlo Cresto-Dina', 'Kai Kuennemann', 'Thomas Kufus']",[],70,3692417.0
284,Shoah (film),1985,37,https://www.rottentomatoes.com/m/shoah,https://en.m.wikipedia.org/wiki/Shoah_(film),"1,000+ Ratings",37 Reviews,97%,Documentary,['Claude Lanzmann'],[],['Claude Lanzmann'],561,20175.0
303,"Harlan County, USA",1976,20,https://www.rottentomatoes.com/m/harlan_county_usa,"https://en.m.wikipedia.org/wiki/Harlan_County,_USA","2,500+ Ratings",21 Reviews,92%,Documentary,['Barbara Kopple'],['Barbara Kopple'],[],103,14300000.0
308,Winter Soldier (film),1972,21,https://www.rottentomatoes.com/m/winter_soldier_1972/,https://en.m.wikipedia.org/wiki/Winter_Soldier_(film),250+ Ratings,21 Reviews,96%,Documentary,[],"['Fred Aronow', 'Nancy Baker', 'Rhetta Barron', 'Robert Fiore', 'David Grubin', 'Barbara Jarvis', 'Barbara Kopple', 'Michael Lesser', 'Nancy Miller', 'Lucy Massie Phenix']",[],95,18300000.0
312,Woodstock (film),1970,25,https://www.rottentomatoes.com/m/woodstock_3_days_of_peace_and_music/,https://en.m.wikipedia.org/wiki/Woodstock_(film),"5,000+ Ratings",26 Reviews,92%,Documentary,['Michael Wadleigh'],[],[],184,50000000.0
315,The Sorrow and the Pity,1969,29,https://www.rottentomatoes.com/m/the_sorrow_and_the_pity_1970/,https://en.m.wikipedia.org/wiki/The_Sorrow_and_the_Pity,"1,000+ Ratings",29 Reviews,97%,Documentary,['Marcel Ophüls'],"['André Harris', 'Alain de Sedouy']","['André Harris', 'Marcel Ophüls']",259,10840.0
295,The Decline of Western Civilization,1981,40,https://www.rottentomatoes.com/m/the_decline_of_western_civilization_1988,https://en.m.wikipedia.org/wiki/The_Decline_of_Western_Civilization,"2,500+ Ratings",40 Reviews,84%,Documentary,['Penelope Spheeris'],['Penelope Spheeris'],['Penelope Spheeris'],100,6700000.0
329,The Endless Summer,1966,23,https://www.rottentomatoes.com/m/endless_summer/,https://en.m.wikipedia.org/wiki/The_Endless_Summer,"5,000+ Ratings",23 Reviews,91%,Documentary,['Bruce Brown'],['Bruce Brown'],['Bruce Brown'],92,20000000.0
290,Stop Making Sense,1984,41,https://www.rottentomatoes.com/m/stop_making_sense,https://en.m.wikipedia.org/wiki/Stop_Making_Sense,"5,000+ Ratings",40 Reviews,97%,Documentary,['Jonathan Demme'],['Gary Goetzman'],[],88,5100000.0
244,Deliver Us from Evil (2006 film),2006,72,https://www.rottentomatoes.com/m/deliver_us_from_evil,https://en.m.wikipedia.org/wiki/Deliver_Us_from_Evil_(2006_film),"10,000+ Ratings",72 Reviews,89%,Documentary,['Amy Berg'],"['Amy Berg', 'Hermas Lassalle', 'Frank Donner']",['Amy Berg'],103,327205.0
211,The Waiting Room (2012 film),2012,34,https://www.rottentomatoes.com/m/the_waiting_room_2012,https://en.m.wikipedia.org/wiki/The_Waiting_Room_(2012_film),"1,000+ Ratings",34 Reviews,76%,Documentary,['Peter Nicks'],"['Peter Nicks', 'Linda Davis', 'William B. Hirsch']",[],81,244092.0
318,Portrait of Jason,1967,27,https://www.rottentomatoes.com/m/portrait_of_jason/,https://en.m.wikipedia.org/wiki/Portrait_of_Jason,250+ Ratings,27 Reviews,78%,Documentary,['Shirley Clarke'],[],[],105,10840.0
214,Hell and Back Again,2011,31,https://www.rottentomatoes.com/m/hell_and_back_again,https://en.m.wikipedia.org/wiki/Hell_and_Back_Again,"2,500+ Ratings",31 Reviews,69%,Documentary,['Danfung Dennis'],"['Danfung Dennis', 'Martin Herring']",[],88,40634.0
424,The Last Laugh (1924 film),1924,32,https://www.rottentomatoes.com/m/the_last_laugh,https://en.m.wikipedia.org/wiki/The_Last_Laugh_(1924_film),"2,500+ Ratings",32 Reviews,88%,Drama,['F.W. Murnau'],['Erich Pommer'],['Carl Mayer'],73,680406.0
183,The Circle (2014 film),2014,24,https://www.rottentomatoes.com/m/der_kreis,https://en.m.wikipedia.org/wiki/The_Circle_(2014_film),250+ Ratings,24 Reviews,77%,Drama,['Stefan Haupt'],[],"['Stefan Haupt', 'Urs Frey']",102,30407.0
270,Rebels of the Neon God,1992,34,https://www.rottentomatoes.com/m/rebels_of_the_neon_god,https://en.m.wikipedia.org/wiki/Rebels_of_the_Neon_God,500+ Ratings,34 Reviews,77%,Drama,['Ming-liang Tsai'],['Feng-chyi Jian'],['Ming-liang Tsai'],106,536848.0
198,Gloria (2013 film),2013,129,https://www.rottentomatoes.com/m/gloria_2012,https://en.m.wikipedia.org/wiki/Gloria_(2013_film),"10,000+ Ratings",129 Reviews,65%,Drama,['Sebastián Lelio'],"['Juan de Dios Larraín', 'Pablo Larraín', 'Luis Collar', 'Gonzalo Maza']","['Sebastián Lelio', 'Gonzalo Maza']",109,743541.0
129,En el séptimo día,2017,31,https://www.rottentomatoes.com/m/on_the_seventh_day,https://en.m.wikipedia.org/wiki/En_el_s%C3%A9ptimo_d%C3%ADa,50+ Ratings,31 Reviews,62%,Drama,['Jim McKay'],"['Alex Bach', 'Lindsey Cordero', 'Caroline Kaplan', 'Jim McKay', 'Michael Stipe']",['Jim McKay'],97,79887.0
195,Gett: The Trial of Viviane Amsalem,2014,80,https://www.rottentomatoes.com/m/gett_the_trial_of_viviane_amsalem,https://en.m.wikipedia.org/wiki/Gett:_The_Trial_of_Viviane_Amsalem,"2,500+ Ratings",80 Reviews,81%,Drama,"['Ronit Elkabetz', 'Shlomi Elkabetz']","['Rémi Burah', 'Denis Carot', 'Michael Eckelt', 'Shlomi Elkabetz', 'Marie Masmonteil']","['Ronit Elkabetz', 'Shlomi Elkabetz']",115,743541.0
130,Summer 1993,2017,97,https://www.rottentomatoes.com/m/summer_1993,https://en.m.wikipedia.org/wiki/Summer_1993,500+ Ratings,97 Reviews,83%,Drama,['Carla Simón'],['Valérie Delpierre'],['Carla Simón'],98,1900000.0
94,South Mountain (film),2019,25,https://www.rottentomatoes.com/m/south_mountain,https://en.m.wikipedia.org/wiki/South_Mountain_(film),Fewer than 50 Ratings,25 Reviews,40%,Drama,['Hilary Brougher'],"['Maria Rosenblum', 'Kristin Frost', 'Susan A. Stover']",['Hilary Brougher'],82,57188.0
213,The Snows of Kilimanjaro (2011 film),2011,20,https://www.rottentomatoes.com/m/the_snows_of_kilimanjaro,https://en.m.wikipedia.org/wiki/The_Snows_of_Kilimanjaro_(2011_film),500+ Ratings,20 Reviews,74%,Drama,['Robert Guédiguian'],[],"['Jean-Louis Milesi', 'Robert Guédiguian']",107,4200000.0
96,The Load,2019,27,https://www.rottentomatoes.com/m/the_load,https://en.m.wikipedia.org/wiki/The_Load,Fewer than 50 Ratings,27 Reviews,72%,Drama,['Ognjen Glavonic'],"['Sophie Erbs', 'Ognjen Glavonic', 'Dragana Jovovic', 'Stefan Ivancic']",['Ognjen Glavonic'],98,28410.0
122,Leave No Trace (film),2018,251,https://www.rottentomatoes.com/m/leave_no_trace,https://en.m.wikipedia.org/wiki/Leave_No_Trace_(film),"5,000+ Ratings",251 Reviews,80%,Drama,['Debra Granik'],"['Anne Harrison', 'Linda Reisman', 'Anne Rosellini']","['Debra Granik', 'Anne Rosellini']",108,7700000.0
219,Poetry (film),2011,72,https://www.rottentomatoes.com/m/poetry_2010,https://en.m.wikipedia.org/wiki/Poetry_(film),"5,000+ Ratings",72 Reviews,86%,Drama,['Lee Chang-dong'],['Lee Jun-dong'],['Lee Chang-dong'],139,2200000.0
282,Vagabond (1985 film),1985,22,https://www.rottentomatoes.com/m/vagabond,https://en.m.wikipedia.org/wiki/Vagabond_(1985_film),"1,000+ Ratings",23 Reviews,85%,Drama,['Agnès Varda'],['Oury Milshtein'],['Agnès Varda'],105,8100000.0
110,The Spy Gone North,2018,21,https://www.rottentomatoes.com/m/the_spy_gone_north,https://en.m.wikipedia.org/wiki/The_Spy_Gone_North,100+ Ratings,21 Reviews,94%,Drama,['Yoon Jong-bin'],['Su-Ran Kuk'],"['Yoon Jong-bin', 'Kwon Seong-hwi']",141,38500000.0
165,Harmonium (film),2016,39,https://www.rottentomatoes.com/m/harmonium,https://en.m.wikipedia.org/wiki/Harmonium_(film),100+ Ratings,39 Reviews,76%,Drama,['Koji Fukada'],"['Masa Sawada', 'Hiroshi Niimura']",['Koji Fukada'],118,2021735.0
