index,Institution,,stateab,control,region,hbcu,ugds_women,ugds_black,npt4,tuitionfee_in,tuitionfee_out,avgfacsal,pftfac
1,Alabama A & M University,,AL,1,5,1,0.5924,0.912,14444,9744,18354,7101,0.7411
2,University of Alabama at Birmingham,,AL,1,5,0,0.607,0.2553,17005,8568,19704,10717,0.7766
3,Amridge University,,AL,2,5,0,0.6809,0.7151,15322,6900,6900,4292,1
4,University of Alabama in Huntsville,,AL,1,5,0,0.4204,0.0969,20909,10714,22362,9442,0.6544
5,Alabama State University,,AL,1,5,1,0.629,0.9352,13043,11068,19396,7754,0.5826
6,The University of Alabama,,AL,1,5,0,0.5557,0.0999,22232,10780,29230,10225,0.7454
7,Auburn University at Montgomery,,AL,1,5,0,0.652,0.4131,12680,8404,17812,7678,0.9655
8,Auburn University,,AL,1,5,0,0.4885,0.055,23696,11276,30524,10428,0.8553
9,Birmingham-Southern College,,AL,2,5,0,0.5209,0.1391,25494,17650,17650,7688,0.6667
10,Faulkner University,,AL,2,5,0,0.5955,0.481,25557,21690,21690,5743,0.4534
11,Huntingdon College,,AL,2,5,0,0.4944,0.2171,20136,27400,27400,6810,0.5714
12,Jacksonville State University,,AL,1,5,0,0.579,0.1866,16962,8760,16536,7122,0.675
13,Judson College,,AL,2,5,0,0.9923,0.2008,16619,18510,18510,6076,0.3678
14,University of West Alabama,,AL,1,5,0,0.5827,0.4312,13975,10040,18490,6461,0.4906
15,Miles College,,AL,2,5,1,0.5246,0.9483,15248,12132,12132,4615,0.7094
16,University of Mobile,,AL,2,5,0,0.6399,0.2519,14611,23230,23230,4863,1
17,University of Montevallo,,AL,1,5,0,0.6681,0.1666,16391,12760,25780,7710,0.6667
18,University of North Alabama,,AL,1,5,0,0.6018,0.1441,12557,10142,18452,7898,1
19,Oakwood University,,AL,2,5,1,0.573,0.8279,26293,19732,19732,4970,0.7386
20,Samford University,,AL,2,5,0,0.6671,0.0638,29207,31650,31650,8888,0.9848
21,University of South Alabama,,AL,1,5,0,0.5902,0.2298,14871,8396,16292,7239,0.6146
22,Spring Hill College,,AL,2,5,0,0.6134,0.1558,19718,39464,39464,6672,0.6667
23,Stillman College,,AL,2,5,1,0.5399,0.8462,13857,11092,11092,5094,0.6949
24,Talladega College,,AL,2,5,1,0.4942,0.851,16386,13571,13571,5861,0.5789
25,Troy University,,AL,1,5,0,0.6163,0.3122,13313,8908,16708,6639,0.533
26,Tuskegee University,,AL,2,5,1,0.6362,0.8454,35353,22170,22170,4810,1
27,University of Alaska Anchorage,,AK,1,8,0,0.581,0.0342,13819,8580,24762,9128,0.484
28,University of Alaska Fairbanks,,AK,1,8,0,0.565,0.0326,11297,6657,20218,9584,0.6066
29,Alaska Pacific University,,AK,2,8,0,0.6714,0.0177,20717,20760,20760,5467,0.5692
30,Arizona State University-Tempe,,AZ,1,6,0,0.441,0.0372,11644,10822,28336,11451,0.7766
31,University of Arizona,,AZ,1,6,0,0.5264,0.0394,14553,12467,36366,11147,0.7625
32,Northern Arizona University,,AZ,1,6,0,0.6129,0.0331,14326,11564,25828,8207,0.6573
33,Prescott College,,AZ,2,6,0,0.6497,0.0279,20674,31485,31485,5286,0.6935
34,Arizona Christian University,,AZ,2,6,0,0.4326,0.1277,20765,26796,26796,4607,0.2577
35,University of Arkansas at Little Rock,,AR,1,5,0,0.6193,0.2818,12102,9544,21754,7623,0.9709
36,Lyon College,,AR,2,5,0,0.4336,0.0931,17032,28790,28790,6655,1
37,University of Arkansas,,AR,1,5,0,0.5351,0.0413,15642,9130,25168,9866,0.8632
38,University of Arkansas at Pine Bluff,,AR,1,5,1,0.5869,0.9092,10684,8038,14398,5894,0.8069
39,Arkansas State University-Main Campus,,AR,1,5,0,0.5997,0.1309,13605,8607,15297,6902,0.7609
40,Arkansas Tech University,,AR,1,5,0,0.5481,0.0742,12362,7254,12678,6833,1
41,University of Central Arkansas,,AR,1,5,0,0.6042,0.1695,14723,8752,15275,7040,0.7806
42,Central Baptist College,,AR,2,5,0,0.46,0.187,14485,16200,16200,5448,0.2692
43,Crowley's Ridge College,,AR,2,5,0,0.4888,0.0955,13334,13600,13600,4175,0.5
44,Harding University,,AR,2,5,0,0.5383,0.0443,19563,19845,19845,7473,0.8054
45,Henderson State University,,AR,1,5,0,0.5658,0.2076,16583,8530,10180,6703,0.9951
46,Hendrix College,,AR,2,5,0,0.5193,0.0763,21215,45790,45790,7708,1
47,John Brown University,,AR,2,5,0,0.5854,0.0254,22210,26928,26928,7049,0.9848
48,Ouachita Baptist University,,AR,2,5,0,0.5511,0.0796,18881,26790,26790,6418,1
49,University of the Ozarks,,AR,2,5,0,0.507,0.0812,16089,24230,24230,6740,0.7647
50,Philander Smith College,,AR,2,5,1,0.663,0.935,14249,13014,13014,6045,1
51,Williams Baptist University,,AR,2,5,0,0.4283,0.1283,18001,17320,17320,5355,0.9615
52,Southern Arkansas University Main Campus,,AR,1,5,0,0.5489,0.2557,13602,8756,12866,6861,0.6629
53,University of Arkansas-Fort Smith,,AR,1,5,0,0.582,0.0411,10397,5593,12666,6921,0.6499
54,Azusa Pacific University,,CA,2,8,0,0.6541,0.0611,25451,38880,38880,9160,0.4042
55,Biola University,,CA,2,8,0,0.6317,0.0255,31345,40488,40488,9348,1
56,California Baptist University,,CA,2,8,0,0.6225,0.0681,23365,33478,33478,9674,0.3274
57,California Institute of Technology,,CA,2,8,0,0.4536,0.0148,23820,52362,52362,19993,0.9195
58,California Lutheran University,,CA,2,8,0,0.5668,0.0432,27220,42692,42692,9974,1
59,California Polytechnic State University-San Luis Obispo,,CA,1,8,0,0.4835,0.0079,20592,9816,21696,10335,0.6835
60,California State University-Bakersfield,,CA,1,8,0,0.6145,0.0531,5687,7309,19189,9585,0.5124
61,California State University-Stanislaus,,CA,1,8,0,0.6597,0.0223,6174,7072,18952,9475,0.5097
62,California State University-San Bernardino,,CA,1,8,0,0.6058,0.0476,8209,6922,18802,9779,0.4812
63,California State Polytechnic University-Pomona,,CA,1,8,0,0.4654,0.0344,12842,7353,19233,10587,0.4729
64,California State University-Chico,,CA,1,8,0,0.5296,0.027,14453,7608,19488,9723,0.5577
65,California State University-Dominguez Hills,,CA,1,8,0,0.6292,0.1133,3891,6942,18822,9752,0.405
66,California State University-Fresno,,CA,1,8,0,0.589,0.0266,6452,6587,18467,9393,0.5432
67,California State University-Fullerton,,CA,1,8,0,0.5632,0.0183,8234,6886,18766,10201,0.4861
68,California State University-East Bay,,CA,1,8,0,0.6083,0.0999,11435,6983,18863,10210,0.4603
69,California State University-Long Beach,,CA,1,8,0,0.5661,0.0366,8982,6798,18678,10192,0.4856
70,California State University-Los Angeles,,CA,1,8,0,0.5753,0.0334,4175,6749,18629,9827,0.4134
71,California State University-Northridge,,CA,1,8,0,0.5401,0.0471,8243,6893,18773,10090,0.4546
72,California State University-Sacramento,,CA,1,8,0,0.554,0.0597,9722,7310,19190,9804,0.4779
73,University of California-Berkeley,,CA,1,8,0,0.5261,0.0184,14846,14184,43176,17125,0.6663
74,University of California-Davis,,CA,1,8,0,0.6037,0.022,14729,14402,43394,14603,0.866
75,University of California-Irvine,,CA,1,8,0,0.5139,0.0206,14604,13700,42692,15447,0.8146
76,University of California-Los Angeles,,CA,1,8,0,0.5783,0.0342,14171,13226,42218,18392,0.6973
77,University of California-Riverside,,CA,1,8,0,0.5401,0.0391,12743,13827,42819,13408,0.8655
78,University of California-San Diego,,CA,1,8,0,0.4982,0.0161,13318,14167,43159,16373,0.8483
79,University of California-Santa Barbara,,CA,1,8,0,0.5441,0.0207,16236,14391,43383,15994,0.8502
80,University of California-Santa Cruz,,CA,1,8,0,0.484,0.019,17699,13960,42952,14426,0.767
81,California State University Maritime Academy,,CA,1,8,0,0.1663,0.0246,22070,7056,18936,9824,0.7391
82,Chapman University,,CA,2,8,0,0.6089,0.0174,40251,52724,52724,11826,1
83,Concordia University-Irvine,,CA,2,8,0,0.62,0.0482,27220,35400,35400,7215,0.9384
84,San Diego Christian College,,CA,2,8,0,0.4821,0.1004,34499,31404,31404,6748,0.1118
85,Claremont McKenna College,,CA,2,8,0,0.478,0.0417,23889,54405,54405,14628,0.9243
86,Dominican University of California,,CA,2,8,0,0.7563,0.0427,34215,45850,45850,8662,0.3285
87,Fresno Pacific University,,CA,2,8,0,0.7282,0.054,20706,32458,32458,7166,0.906
88,Harvey Mudd College,,CA,2,8,0,0.4898,0.035,32739,56620,56620,13671,0.8594
89,Holy Names University,,CA,2,8,0,0.6534,0.1805,23175,39316,39316,8046,0.2885
90,Humboldt State University,,CA,1,8,0,0.5677,0.037,14897,7675,19555,9602,0.5451
91,Humphreys University-Stockton and Modesto Campuses,,CA,2,8,0,0.6825,0.0921,7139,14292,14292,6775,0.2198
92,American Jewish University,,CA,2,8,0,0.6418,0,38997,31946,31946,7904,1
93,Life Pacific University,,CA,2,8,0,0.5278,0.0476,20060,15654,15654,6300,0.3
94,University of La Verne,,CA,2,8,0,0.5879,0.0549,24750,43050,43050,9264,0.357
95,La Sierra University,,CA,2,8,0,0.6032,0.0714,21442,32778,32778,8000,0.2997
96,The Master's University and Seminary,,CA,2,8,0,0.4684,0.0329,26645,25390,25390,8258,0.2464
97,Loyola Marymount University,,CA,2,8,0,0.5564,0.0705,39898,48522,48522,11733,0.5547
98,Mills College,,CA,2,8,0,0.996,0.1057,22774,30257,30257,10308,0.4611
99,Mount Saint Mary's University,,CA,2,8,0,0.9404,0.0647,29267,41170,41170,8998,0.2916
100,Notre Dame de Namur University,,CA,2,8,0,0.6636,0.0494,25610,35350,35350,9117,0.2228
101,Occidental College,,CA,2,8,0,0.577,0.0518,31842,54686,54686,11293,0.7649
102,Hope International University,,CA,2,8,0,0.572,0.0781,22440,33400,33400,4582,0.2394
103,Pacific Union College,,CA,2,8,0,0.6118,0.0732,21968,30060,30060,6285,0.9348
104,University of the Pacific,,CA,2,8,0,0.5252,0.0322,25973,48164,48164,10587,0.4884
105,Pepperdine University,,CA,2,8,0,0.5922,0.0484,34701,53932,53932,12387,0.6016
106,Pitzer College,,CA,2,8,0,0.5597,0.0578,31590,54056,54056,11104,0.872
107,Point Loma Nazarene University,,CA,2,8,0,0.6476,0.0185,32319,35700,35700,10189,1
108,Pomona College,,CA,2,8,0,0.5145,0.0962,13622,52780,52780,13451,0.9375
109,University of Redlands,,CA,2,8,0,0.581,0.0058,25727,49504,49504,10242,0.9664
110,San Diego State University,,CA,1,8,0,0.5463,0.04,15287,7488,19340,10903,0.5183
111,University of San Diego,,CA,2,8,0,0.5474,0.0356,32576,49358,49358,12284,0.5094
112,San Francisco State University,,CA,1,8,0,0.5562,0.0556,15033,7260,19140,10744,0.4988
113,University of San Francisco,,CA,2,8,0,0.632,0.0422,32782,48066,48066,12379,0.4199
114,William Jessup University,,CA,2,8,0,0.5939,0.0482,22633,33550,33550,6907,0.2385
115,San Jose State University,,CA,1,8,0,0.4924,0.0329,15270,7796,19676,10626,0.4159
116,Santa Clara University,,CA,2,8,0,0.4936,0.0302,37399,51711,51711,12700,0.6376
117,Scripps College,,CA,2,8,0,1,0.0401,33520,55024,55024,11478,0.7717
118,Simpson University,,CA,2,8,0,0.6147,0.0405,24298,30200,30200,6463,1
119,Saint Mary's College of California,,CA,2,8,0,0.5796,0.0385,35622,47280,47280,10813,0.2358
120,Sonoma State University,,CA,1,8,0,0.611,0.0229,16801,7798,19678,10197,0.4707
121,Vanguard University of Southern California,,CA,2,8,0,0.6678,0.0548,20292,33720,33720,8314,1
122,University of Southern California,,CA,2,8,0,0.5115,0.0458,30453,56225,56225,14712,0.5931
123,Thomas Aquinas College,,CA,2,8,0,0.5086,0.0049,24214,25000,25000,8997,0.9821
124,Westmont College,,CA,2,8,0,0.6114,0.015,30719,45304,45304,7816,0.5482
125,Whittier College,,CA,2,8,0,0.5823,0.046,24522,48086,48086,8200,0.6878
126,Woodbury University,,CA,2,8,0,0.5147,0.0333,28351,39790,39790,7541,0.2788
127,University of Colorado Denver/Anschutz Medical Campus,,CO,1,7,0,0.5425,0.0532,15446,9283,25771,10640,0.6516
128,University of Colorado Colorado Springs,,CO,1,7,0,0.5147,0.0402,15812,8523,20067,8322,0.5761
129,University of Colorado Boulder,,CO,1,7,0,0.4463,0.0157,21510,12532,37286,11684,0.6874
130,Colorado Christian University,,CO,2,7,0,0.6979,0.1242,24344,31866,31866,6538,0.1862
131,Colorado College,,CO,2,7,0,0.5543,0.0243,25041,55470,55470,11597,0.8805
132,Colorado School of Mines,,CO,1,7,0,0.3025,0.01,25781,18964,38584,12065,0.9613
133,Colorado State University-Fort Collins,,CO,1,7,0,0.5109,0.0232,19800,11707,29608,10039,0.6901
134,University of Denver,,CO,2,7,0,0.5424,0.0186,28991,50556,50556,10796,0.5606
135,Fort Lewis College,,CO,1,7,0,0.5141,0.0103,16922,9040,19696,7291,0.9711
136,Colorado Mesa University,,CO,1,7,0,0.5348,0.0233,18840,8627,20944,6832,0.5181
137,Metropolitan State University of Denver,,CO,1,7,0,0.531,0.0654,16204,7666,20847,6545,1
138,Naropa University,,CO,2,7,0,0.6724,0.0122,26812,31790,31790,6218,0.3333
139,University of Northern Colorado,,CO,1,7,0,0.6501,0.0438,14230,9918,21786,7785,0.5894
140,Regis University,,CO,2,7,0,0.6001,0.0395,24422,36810,36810,7295,0.4503
141,Colorado State University-Pueblo,,CO,1,7,0,0.5124,0.0647,12556,10408,26329,6887,0.5163
142,Western Colorado University,,CO,1,7,0,0.4052,0.0284,17200,10114,21586,6761,0.763
143,Albertus Magnus College,,CT,2,1,0,0.6694,0.3315,25089,32060,32060,7300,0.2593
144,University of Bridgeport,,CT,2,1,0,0.6439,0.2861,22961,33055,33055,8597,0.2792
145,Central Connecticut State University,,CT,1,1,0,0.4705,0.1235,16288,10616,23124,8965,0.4664
146,Connecticut College,,CT,2,1,0,0.6179,0.0417,32606,54820,54820,9949,0.7088
147,University of Connecticut,,CT,1,1,0,0.509,0.0618,21588,15730,38098,11874,0.6654
148,Eastern Connecticut State University,,CT,1,1,0,0.5777,0.0963,18546,11356,23864,8547,1
149,Fairfield University,,CT,2,1,0,0.6035,0.0227,39676,48350,48350,11364,1
150,University of Hartford,,CT,2,1,0,0.5103,0.1533,29592,40694,40694,7811,0.4063
151,Mitchell College,,CT,2,1,0,0.4337,0.1514,26575,33200,33200,6977,1
152,University of New Haven,,CT,2,1,0,0.539,0.119,32975,39270,39270,10566,0.4041
153,Quinnipiac University,,CT,2,1,0,0.612,0.04,39307,47960,47960,11079,0.3532
154,Sacred Heart University,,CT,2,1,0,0.6519,0.0498,41066,41420,41420,9123,0.3323
155,University of Saint Joseph,,CT,2,1,0,0.874,0.1399,25508,38173,38173,8620,0.9658
156,Southern Connecticut State University,,CT,1,1,0,0.6081,0.1905,19291,10954,23464,8848,0.481
157,Trinity College,,CT,2,1,0,0.4977,0.062,32122,56910,56910,10633,0.7451
158,Wesleyan University,,CT,2,1,0,0.553,0.0592,26291,54944,54944,12420,0.8747
159,Western Connecticut State University,,CT,1,1,0,0.5226,0.0981,19124,10859,23367,8937,1
160,Yale University,,CT,2,1,0,0.5019,0.0753,18770,53430,53430,19093,0.7381
161,Delaware State University,,DE,1,2,1,0.661,0.7392,13789,7868,16904,8272,0.6547
162,University of Delaware,,DE,1,2,0,0.5731,0.0565,16127,13680,34310,12904,0.9838
163,Wesley College,,DE,2,2,0,0.5512,0.4316,22643,26406,26406,5449,0.3679
164,Wilmington University,,DE,2,2,0,0.6489,0.2601,15282,11210,11210,7368,0.0548
165,American University,,DC,2,2,0,0.6262,0.0717,34617,48459,48459,12045,0.5639
166,The Catholic University of America,,DC,2,2,0,0.5334,0.0443,34972,45804,45804,9748,0.5177
167,University of the District of Columbia,,DC,1,2,1,0.5752,0.6042,16482,5888,12416,8428,0.3212
168,Gallaudet University,,DC,2,2,0,0.5432,0.1565,15157,17038,17038,10333,1
169,George Washington University,,DC,2,2,0,0.6087,0.0714,33734,55230,55230,14659,0.5139
170,Georgetown University,,DC,2,2,0,0.5628,0.0674,30169,54104,54104,15382,0.4805
171,Howard University,,DC,2,2,1,0.6925,0.8863,39792,26756,26756,9521,0.7766
172,Trinity Washington University,,DC,2,2,0,0.9743,0.5733,15414,24150,24150,7156,0.2701
173,Barry University,,FL,2,5,0,0.6164,0.3293,17937,30014,30014,8151,0.3209
174,Bethune-Cookman University,,FL,2,5,1,0.6245,0.8044,15372,14814,14814,6523,0.7184
175,Lynn University,,FL,2,5,0,0.4891,0.1094,37274,38210,38210,5486,0.7083
176,University of Central Florida,,FL,1,5,0,0.5453,0.1115,12733,6368,22467,10506,0.9892
177,Eckerd College,,FL,2,5,0,0.6633,0.0297,32575,44540,44540,7937,0.8358
178,Edward Waters College,,FL,2,5,1,0.4659,0.8657,12416,13525,13525,5160,1
179,Embry-Riddle Aeronautical University-Daytona Beach,,FL,2,5,0,0.2257,0.0527,30197,35814,35814,9664,0.8723
180,Florida Agricultural and Mechanical University,,FL,1,5,1,0.6495,0.8837,15341,5785,17725,8011,0.9927
181,Florida Atlantic University,,FL,1,5,0,0.5617,0.1985,9768,4831,17276,9178,0.699
182,Flagler College-St Augustine,,FL,2,5,0,0.6651,0.0379,23182,18950,18950,7534,0.5213
183,Florida Institute of Technology,,FL,2,5,0,0.2855,0.0601,31900,41850,41850,9694,0.9407
184,Florida International University,,FL,1,5,0,0.5622,0.1195,8311,6556,18954,10514,0.981
185,Florida Memorial University,,FL,2,5,1,0.607,0.667,17125,15536,15536,7365,0.7143
186,Florida Southern College,,FL,2,5,0,0.6489,0.0641,26036,36348,36348,8394,0.988
187,Florida State University,,FL,1,5,0,0.565,0.0862,10744,5656,18786,11108,0.8553
188,University of Florida,,FL,1,5,0,0.5619,0.0635,8057,6381,28659,11608,0.8692
189,Jacksonville University,,FL,2,5,0,0.6156,0.2072,21588,36670,36670,7617,0.615
190,University of Miami,,FL,2,5,0,0.5246,0.0844,30841,50226,50226,12367,0.7906
191,University of North Florida,,FL,1,5,0,0.5595,0.0905,10951,6394,20798,8145,0.9603
192,Nova Southeastern University,,FL,2,5,0,0.7109,0.1402,25816,30900,30900,10230,0.3899
193,Palm Beach Atlantic University,,FL,2,5,0,0.6446,0.0879,23881,31450,31450,7612,1
194,Rollins College,,FL,2,5,0,0.599,0.0498,27537,49760,49760,8126,1
195,Saint Leo University,,FL,2,5,0,0.5876,0.3134,19545,23020,23020,8070,0.2348
196,University of South Florida-Main Campus,,FL,1,5,0,0.5458,0.1009,9838,6410,17324,10168,0.7689
197,St. Thomas University,,FL,2,5,0,0.573,0.2819,16833,31830,31830,10159,1
198,Stetson University,,FL,2,5,0,0.5605,0.0813,25978,46030,46030,10053,0.6908
199,Southeastern University,,FL,2,5,0,0.5706,0.1395,24262,25870,25870,8105,1
200,The University of Tampa,,FL,2,5,0,0.5832,0.0473,30579,29208,29208,8978,1
201,Trinity Baptist College,,FL,2,5,0,0.4068,0.2329,16054,12140,12140,3594,1
202,Warner University,,FL,2,5,0,0.4565,0.365,17309,21694,21694,5268,0.2741
203,Webber International University,,FL,2,5,0,0.261,0.3214,23513,26116,26116,4585,0.5676
204,The University of West Florida,,FL,1,5,0,0.5676,0.119,8125,6360,19241,8521,1
205,Agnes Scott College,,GA,2,5,0,1,0.3157,20235,41160,41160,9183,0.649
206,Point University,,GA,2,5,0,0.5267,0.3178,20901,20600,20600,6194,0.2
207,Clark Atlanta University,,GA,2,5,1,0.7509,0.888,33276,22186,22186,7467,0.6149
208,Berry College,,GA,2,5,0,0.61,0.0559,23158,36556,36556,8364,0.8086
209,Brenau University,,GA,2,5,0,0.9064,0.2932,22083,29050,29050,7267,0.5267
210,Brewton-Parker College,,GA,2,5,0,0.4265,0.3319,19677,18240,18240,4805,1
211,Clayton  State University,,GA,1,5,0,0.7053,0.6581,11160,5419,15880,6625,0.663
212,Columbus State University,,GA,1,5,0,0.595,0.3894,12194,6134,16920,6777,0.6205
213,Covenant College,,GA,2,5,0,0.516,0.0319,22234,34330,34330,7233,0.9474
214,Dalton State College,,GA,1,5,0,0.5977,0.0424,6272,4246,12668,5622,0.6905
215,Emmanuel College,,GA,2,5,0,0.4746,0.1574,17950,20292,20292,4977,0.6282
216,Emory University,,GA,2,5,0,0.6001,0.0786,24593,51306,51306,14486,0.7804
217,Fort Valley State University,,GA,1,5,1,0.6025,0.9196,14940,6658,19738,5944,0.7815
218,Georgia Institute of Technology-Main Campus,,GA,1,5,0,0.385,0.0697,14927,12424,33020,12727,0.8955
219,Georgia Southwestern State University,,GA,1,5,0,0.6432,0.2649,13206,5381,15842,6075,0.7318
220,Georgia College & State University,,GA,1,5,0,0.6294,0.0511,20189,9346,28060,6990,0.825
221,Georgia Southern University,,GA,1,5,0,0.5444,0.2534,15795,6356,17142,6684,0.8179
222,Georgia State University,,GA,1,5,0,0.5876,0.4152,14519,9112,23971,8780,0.7421
223,University of Georgia,,GA,1,5,0,0.5677,0.077,13971,11830,30404,11177,0.9056
224,LaGrange College,,GA,2,5,0,0.5245,0.1981,19699,30500,30500,6525,1
225,Mercer University,,GA,2,5,0,0.621,0.2821,20828,36894,36894,8639,0.959
226,Morehouse College,,GA,2,5,1,0.0005,0.9433,40068,27576,27576,6037,0.9747
227,Oglethorpe University,,GA,2,5,0,0.5689,0.2442,21515,38100,38100,6935,1
228,Paine College,,GA,2,5,1,0.5607,0.9161,14607,16096,16096,4738,0.7708
229,Piedmont College,,GA,2,5,0,0.6541,0.1044,17894,25920,25920,6897,0.3742
230,Reinhardt University,,GA,2,5,0,0.4835,0.1761,21020,23300,23300,6149,0.503
231,Savannah State University,,GA,1,5,1,0.5986,0.814,10132,5743,16204,5947,0.9106
232,Shorter University,,GA,2,5,0,0.5838,0.251,19795,22370,22370,4994,0.6642
233,Spelman College,,GA,2,5,1,1,0.9709,40840,29064,29064,8379,0.7052
234,Thomas University,,GA,2,5,0,0.5484,0.1459,20038,16940,16940,5347,0.4104
235,Toccoa Falls College,,GA,2,5,0,0.543,0.0848,21808,22744,22744,5605,0.3478
236,Truett McConnell University,,GA,2,5,0,0.5361,0.0807,17069,20230,20230,4120,1
237,Valdosta State University,,GA,1,5,0,0.6309,0.3892,14278,6410,17196,6651,0.748
238,Wesleyan College,,GA,2,5,0,1,0.3393,12462,23000,23000,6291,1
239,University of West Georgia,,GA,1,5,0,0.6318,0.3934,16234,6288,17074,6431,0.8094
240,Young Harris College,,GA,2,5,0,0.5313,0.097,18195,29067,29067,6281,0.5391
241,Chaminade University of Honolulu,,HI,2,8,0,0.7057,0.0487,23119,25374,25374,8316,1
242,University of Hawaii at Hilo,,HI,1,8,0,0.6505,0.0116,15125,7720,20680,9994,0.7147
243,University of Hawaii at Manoa,,HI,1,8,0,0.5659,0.0148,15286,11970,34002,12163,0.7707
244,Hawaii Pacific University,,HI,2,8,0,0.6006,0.0652,27139,25980,25980,8577,0.4624
245,University of Hawaii-West Oahu,,HI,1,8,0,0.662,0.0201,10519,7512,20472,9619,0.5299
246,Boise State University,,ID,1,7,0,0.5568,0.0168,15020,7694,23776,8091,0.5267
247,Idaho State University,,ID,1,7,0,0.5585,0.0128,16679,7420,22940,7391,0.939
248,University of Idaho,,ID,1,7,0,0.4787,0.0118,14502,7864,25500,9346,0.8619
249,The College of Idaho,,ID,2,7,0,0.5218,0.0202,22697,30155,30155,7029,0.6119
250,Lewis-Clark State College,,ID,1,7,0,0.634,0.009,9988,6618,19236,6213,0.9898
251,Northwest Nazarene University,,ID,2,7,0,0.5962,0.0221,17082,29800,29800,6301,0.9918
252,Brigham Young University-Idaho,,ID,2,7,0,0.5768,0.0052,7632,4118,4118,8587,-99
253,Augustana College,,IL,2,3,0,0.5662,0.0411,23310,42135,42135,7741,0.7574
254,Aurora University,,IL,2,3,0,0.6491,0.0733,17613,24260,24260,8071,0.3038
255,Blackburn College,,IL,2,3,0,0.5989,0.1212,15949,22410,22410,6580,0.6032
256,Bradley University,,IL,2,3,0,0.507,0.0694,24706,33760,33760,9039,0.5918
257,Chicago State University,,IL,1,3,0,0.6937,0.7386,11365,10163,17123,7661,0.9816
258,University of Chicago,,IL,2,3,0,0.4891,0.0518,26160,58230,58230,18469,0.8323
259,Columbia College Chicago,,IL,2,3,0,0.5773,0.1324,30924,27176,27176,8478,0.3062
260,Concordia University-Chicago,,IL,2,3,0,0.5865,0.1265,16403,32078,32078,4038,0.6367
261,DePaul University,,IL,2,3,0,0.5294,0.0786,28410,39975,39975,10916,0.49
262,East-West University,,IL,2,3,0,0.467,0.5076,17683,22050,22050,6963,1
263,Eastern Illinois University,,IL,1,3,0,0.5934,0.2131,13851,11803,14023,8379,0.7903
264,Elmhurst College,,IL,2,3,0,0.6066,0.0468,21304,37055,37055,7950,0.4167
265,Eureka College,,IL,2,3,0,0.4758,0.0862,20848,25390,25390,5679,0.6066
266,Governors State University,,IL,1,3,0,0.6174,0.3938,17050,12196,21586,7003,0.4535
267,Greenville University,,IL,2,3,0,0.4712,0.1535,20613,27130,27130,5618,1
268,University of Illinois at Chicago,,IL,1,3,0,0.5175,0.0791,13301,13764,26980,11151,0.7169
269,Benedictine University,,IL,2,3,0,0.5423,0.0858,24865,34290,34290,8567,0.3514
270,University of Illinois at Urbana-Champaign,,IL,1,3,0,0.4592,0.0604,17302,15094,31664,12525,0.7456
271,Illinois Wesleyan University,,IL,2,3,0,0.5225,0.0617,28356,47636,47636,8305,0.6119
272,Illinois College,,IL,2,3,0,0.5088,0.0989,16625,33090,33090,7085,0.7576
273,Illinois Institute of Technology,,IL,2,3,0,0.3181,0.0516,21917,47646,47646,12396,0.5936
274,Illinois State University,,IL,1,3,0,0.5536,0.0931,21301,14516,26040,8268,0.7707
275,Judson University,,IL,2,3,0,0.5956,0.1181,20498,29860,29860,6413,0.285
276,Knox College,,IL,2,3,0,0.5645,0.0827,21359,46554,46554,7477,0.9344
277,Lake Forest College,,IL,2,3,0,0.5689,0.0498,24923,47064,47064,8654,0.5824
278,Lewis University,,IL,2,3,0,0.5155,0.0555,18531,32450,32450,9299,0.4046
279,Loyola University Chicago,,IL,2,3,0,0.665,0.0546,34024,44048,44048,10639,0.5096
280,MacMurray College,,IL,2,3,0,0.4799,0.0876,14719,27710,27710,5923,0.6061
281,McKendree University,,IL,2,3,0,0.5286,0.1346,19371,30520,30520,6756,1
282,Millikin University,,IL,2,3,0,0.5725,0.1387,20560,35002,35002,6133,0.703
283,Monmouth College,,IL,2,3,0,0.4928,0.0966,17009,37674,37674,6789,0.7647
284,National Louis University,,IL,2,3,0,0.7253,0.2395,14303,10710,10710,6207,0.9883
285,North Central College,,IL,2,3,0,0.5373,0.0443,23599,38880,38880,8298,0.4599
286,North Park University,,IL,2,3,0,0.6162,0.0819,19707,29860,29860,7788,1
287,Northern Illinois University,,IL,1,3,0,0.4996,0.1653,23140,14617,14617,8301,0.7496
288,Northwestern University,,IL,2,3,0,0.5108,0.0594,24840,54568,54568,17189,0.828
289,Northeastern Illinois University,,IL,1,3,0,0.5639,0.1121,19287,11218,20726,8055,0.5627
290,Olivet Nazarene University,,IL,2,3,0,0.5877,0.0813,20007,36070,36070,7296,0.3287
291,Quincy University,,IL,2,3,0,0.4563,0.1114,13869,28562,28562,5574,0.4141
292,Robert Morris University Illinois,,IL,2,3,0,0.4489,0.2747,23010,28050,28050,7425,0.3311
293,Rockford University,,IL,2,3,0,0.5545,0.0988,21436,30930,30930,5729,0.3958
294,Roosevelt University,,IL,2,3,0,0.6559,0.1531,22702,29832,29832,8439,0.3532
295,Dominican University,,IL,2,3,0,0.684,0.0601,17806,33434,33434,8205,0.4536
296,University of St Francis,,IL,2,3,0,0.6648,0.0975,18355,32320,32320,7825,0.8889
297,Saint Xavier University,,IL,2,3,0,0.6357,0.1176,14643,33880,33880,7291,0.3972
